SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
36,bft,Balti,Balti,بلتی‎ (Baltī),"Baltistani, Bhoti of Baltistan, Byltae, Sbalt",IN,India,F,T,T,13800,13800,,,"13,800 in India (2011 census).",,,########,2011,"65,900",Jammu and Kashmir state.,Jammu and Kashmir,,,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Western",,,,"Some young people, all adults.","Many also use Purig [prx]. Also use English [eng]. Also use Shina [scl]. Also use Urdu [urd], with high proficiency in some places, except among women and uneducated populations.",Used as L2 by Purig [prx].,Literacy rate in L2: 62% (2001 census).,,Dictionary. Texts. Bible portions: 1903–1940.,,,"Arabic script, Naskh variant [Arab], used since the 17th century. Arabic script, Nastaliq variant [Aran], used since the 17th century, primary usage. Balti script [Qaab], no longer in use. Tibetan script [Tibt], used between 8th and 17th century, recent efforts to revive usage.",,Muslim.
37,bap,Bantawa,Bantawa,बान्तावा‎ (bantawa),"An Yüng, Bantaba, Bantawa Dum, Bantawa Rai, Bantawa Yong, Bantawa Yüng, Bontawa, Kirat Khambu, Kirat Khambu Rai, Kirawa Yüng, Rai",IN,India,F,T,T,14400,14400,,,"14,400 in India (2001 census).",,Few monolinguals.,,2001,"215,100 (as L1: 171,600; as L2: 43,500)","Sikkim state: Lingdum, Rolep, and many other parts of the state; West Bengal state: Darjeeling.",West Bengal,,,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Himalayan, Kiranti, Eastern",,,"SOV; postpositions; noun heads initial; no noun classes or genders; content q-word in situ; genitives, adjectives, numerals before noun heads; polar questions marked only with rising intonation; content questions same word order as assertive sentences or question word directly before the verb; up to 2 prefixes, 10 suffixes; clause constituents indicated by word order; affixes indicate case of noun phrases; verbal affixation mark person, number, object—obligatory; tense and aspect; no passives or voice; split ergative; comparatives use Nepali word, bhanda; 25 consonant and 6 vowel phonemes; numbers above 3 are borrowed from Nepali [npi]; CV, CVC, CVCC; nontonal.","Some shift to Nepali [npi] evident, especially among young generation. Home, friends, religion. Some young people, all adults. Positive attitudes.","Most also use Nepali [npi]. Also use English [eng]. Also use Hindi [hin], especially among ex-soldiers.",,,,Literature. Newspapers. Periodicals. Radio. Videos. Dictionary. Grammar. Texts. NT: 2020.,,,"Devanagari script [Deva]. Kirat Rai script [Krai], used in Sikkim.",,"Traditional religion, Christian, Hindu."
38,bpx,"Bareli, Palya",Palya Bareli,,"Bareli, Pali, Palodi",IN,India,T,T,T,10000,10000,,,"10,000 (2000 V. Varkey).",,,,2000,,"Madhya Pradesh state: Barwani district, Rajpur and Barwani sub-districts; Khargone district, Jhirniya sub-district; Maharashtra state: Jalgaon district, Yawal and Raver sub-districts; Dhule district, Shirpur sub-district.",Madhya Pradesh,21.7066,75.6246,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",,"Dialect center is Madhya Pradesh, Barwani District, Choutharya village of Rajpur tahsil. Lexical similarity 62%–66% with Pauri Bareli [bfb], 67%–73% with Rathwi Bareli [bgd].",,Vigorous. All domains except education. Used by all. Positive attitudes.,Also use Ahirani [ahr]. Also use English [eng]. Also use Hindi [hin]. Also use Marathi [mar]. Also use Nimadi [noe].,,Literacy rate in L2: Below 10%.,,NT: 2020.,,,Devanagari script [Deva].,,Traditional religion.
39,bfb,"Bareli, Pauri",Pauri Bareli,बारेला पावरी‎ (Bārēlā pāvarī),"Barel Pauri, Bareli, Barewali, Barli",IN,India,T,T,T,991000,991000,,,"991,000 (2011 census).",,,,2011,,"Maharashtra state: Nandurbar district, Dhadgaon, Shahada, and Taloda sub-districts; Dhule district, Shirpur sub-district; Madhya Pradesh state: Barwani district, Pansemal sub-district, Nivali and Pati blocks.",Madhya Pradesh,21.8964,74.4319,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",,"Pauri Bareli not intelligible with Rathwi Bareli [bgd] or Palya Bareli [bpx]. Dialect center in Maharashtra, Nandurbar district, Dhadgaon tahsil. Lexical similarity: 81%–88% with varieties of Pauri Bareli; 68%–79% with Rathwi Bareli [bgd]; 62%–66% with Palya Bareli [bpx].",,Vigorous. All domains except education. Positive attitudes.,Also use Ahirani [ahr]. Also use English [eng]. Also use Hindi [hin]. Also use Marathi [mar]. Also use Nimadi [noe].,,Literacy rate in L2: Below 10%.,,NT: 2017.,,,Devanagari script [Deva].,,Traditional religion.
40,bgd,"Bareli, Rathwi",Rathwi Bareli,बरेली‎ (Bareli),"Barel, Barela, Paura, Pauri, Pawari, Pawri, Rathi, Rathia, Rathwi Pauri",IN,India,T,T,T,359000,359000,,,"359,000 (2011 census).",,,,2011,,"Madhya Pradesh state: Barwani district, Barwani, Sendhwa, and Rajpur sub-districts; Khargone district, Bhagawanpura, Jhirniya, and Bhikangaon sub-districts; Dewas district, Bagli sub-district; Khandwa district, Burhanpur sub-district; Dhar district, Dahi block; south Jhabua district, Rathia Bhilala; Maharashtra state: north Dhule district, Shirpur sub-district; Jalgaon district, Chopda, Raver, and Yawal sub-districts.",Madhya Pradesh,21.9293,75.5625,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",,"Pauri Bareli [bfb] and the Rathwi Pauri dialect not intelligible with Vasavi [vas] or Bhilori [noi]. Dialect center is Madhya Pradesh, Barwani District, Chiklia. Not intelligible with Palya Bareli [bpx] or Pauri Bareli. Understood by Rathia Bhilala of Nimad, Bhilala of Sondhwa block of Jhabua District and Bhils of south Dhar District. Lexical similarity: 81%–93% with Rathwi Bareli dialects; 67%–73% with Palya Bareli [bpx]; 68%–79% with Pauri Bareli [bfb].",,Vigorous. All domains except education. Positive attitudes.,Also use Ahirani [ahr]. Also use English [eng]. Also use Hindi [hin]. Also use Marathi [mar]. Also use Nimadi [noe].,,Literacy rate in L2: Below 10%.,,Bible portions: 1986.,,,Devanagari script [Deva].,A Scheduled Tribe.,Traditional religion.
41,btv,Bateri,Bateri,,,IN,India,F,F,T,800,800,,,800 in India. 200 families.,,,,,"41,800",Jammu and Kashmir state: Srinagar area.,Jammu and Kashmir,,,6a,6a* (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Northwestern, Dardic, Kohistani",,,,,,,,,,,,Unwritten [Qaax].,,Muslim.
42,bge,Bauria,Bauria,,"Babri, Badak, Baori, Basria, Bawari, Bawaria, Bhoria, Vaghri",IN,India,T,T,T,63000,63000,,,"63,000 (2011 census).",,,,2011,,"Chandigarh, Haryana, Himachal Pradesh, Punjab, Rajasthan, and Uttar Pradesh states; Delhi.",Punjab,31.0125,76.2951,6a,6a* (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",,,,,Many also use English [eng]. Also use Eastern Punjabi [pan].,,,,,,,Unwritten [Qaax].,A Scheduled Caste.,"Traditional religion, Hindu."
43,bfr,Bazigar,Bazigar,,,IN,India,T,T,T,58200,58200,,,"58,200 (1981 census).",,,########,1981,,"Haryana state: Ambala, Kaithal, Karnal, and Kurukshetra; Punjab state: Fatehgarh Sahib district and Patiala; Uttar Pradesh state: Muzaffarnagar and Saharanpur.",Haryana,30.1059,76.7731,7,7 (Shifting),,,"Indo-European, Indo-Iranian, Indo-Aryan, Unclassified",,,,,Shifting to Eastern Punjabi [pan]. Many also use English [eng].,,,,,,,Unwritten [Qaax].,,Hindu.
44,brw,Bellari,Bellari,,,IN,India,T,T,T,1000,1000,,,"1,000 (Van Driem 2007).",,,,2007,,Karnataka state: Mysore district; Kerala state: Wayanad district; scattered in Tamil Nadu state.,Karnataka,11.9306,76.2036,7,7 (Shifting),,,"Dravidian, Southern, Tulu",,Related to Tulu [tcy] and Koraga [kfd].,,,Shifting to Kannada [kan].,,,,,,,Unwritten [Qaax].,"Bellara is a Scheduled Caste in Karnataka, Kerala, and Tamil Nadu. Speak a dialect of Kannada [kan] (Singh 1995b).",
45,ben,Bengali,Bengali,বাংলা‎ (Bangla),"Bangala, Bangla-Bhasa",IN,India,F,T,T,1.07E+08,96500000,10000000,"106,500,000 in India, all users.","96,500,000 in India (2011 census).","10,000,000 (2011 census).",,,2011,"284,325,790 (as L1: 241,803,340; as L2: 42,522,450)","Assam state: Goalpara district; Bihar state; Jharkhand state: Dhanbad, Manbhum, Santal Parganas, and Singhbhum; Odisha state: Bales and Mayar; Tripura and West Bengal states.",West Bengal,,,2,2 (Provincial),"Statutory provincial language in West Bengal, Tripura, Assam states (1950, Constitution, Schedule VIII).",,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Barik, Bhatiari, Chirmar, Kachari-Bengali, Lohari-Malpaharia, Musselmani, Rajshahi, Samaria, Saraki, Siripuria (Kishanganjia)",,"SOV; postpositions; noun head both initial and final; 3 genders: male, female, neuter; content q-word initial and final; clause constituents indicated by case-marking (5 cases) and word order; verb affixes mark person, number; definite article affix; tense; passives and voice; causatives; comparatives; non-tonal; 35 consonant and 5 vowel phonemes; stress on first syllable.",,,"Used as L2 by Asuri [asr], Bishnupuriya [bpy], Chakma [ccp], Dimasa [dis], Hajong [haj], Kamtapuri [rkt], Kharia [khr], Kharia Thar [ksy], Koch [kdq], Kok Borok [trp], Kudmali [kyw], Kumarbhag Paharia [kmj], Lodhi [lbm], Mahali [mjx], Maithili [mai], Mal Paharia [mkb], Panchpargania [tdb], Pnar [pbv], Rabha [rah], Sadri [sck], Sakachep [sch], Toto [txo], Urdu [urd].",Literacy rate in L1: 85%.,"Taught in primary and secondary schools through grade 5 and as subject thereafter in Assam, Tripura, and West Bengal states.",Fully developed. Bible: 1832–2016.,,,"Bengali (Bangla) script [Beng], primary usage. Braille script [Brai]. Newa script [Newa], no longer in use.",,"Muslim, Hindu."
46,bhd,Bhadrawahi,Bhadrawahi,भद्रवाही‎ (Bhadrawahi),"Baderwali, Badrohi, Bahi, Bhadarwahi, Bhaderbhai Jamu, Bhaderwali Pahari, Bhadrava, Bhadri",IN,India,T,T,T,116000,116000,,,"116,000 (2011). 98,800 Bhadrawahi and 17,300 Padari (2011 census).",,,,2011,,"Himachal Pradesh state: small border area; Jammu and Kashmir state: Doda district, Bhadarwah town and surrounding villages.",Jammu and Kashmir,33.2951,75.8604,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Western Pahari","Bhalesi, Padari (Padar)",Lexical similarity: 45% with Pangwali [pgg].,,"Vigorous in spite of high bilingualism; L1 seen as important. Home, village, religion. Positive attitudes.",Also use English [eng]. Also use Hindi [hin]. Also use Kashmiri [kas]. Also use Urdu [urd].,,"Literacy rate in L2: 70% (84% for males, 53% for females).",,Literature. Radio. Grammar. NT: 2017.,,,"Arabic script, Naskh variant [Arab]. Devanagari script [Deva].",,Hindu.
47,bhx,Bhalay,Bhalay,,"Balahi, Balai",IN,India,T,T,T,8670,8670,,,"8,670 (1981 census).",,,,1981,,Madhya Pradesh state; Maharashtra state: Amravati district.,Madhya Pradesh,21.5372,77.6503,6a,6a (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Unclassified",,"Lexical similarity: 91%–95% with Gowlan [goj], 61%–62% with Hindi [hin], 33%–34% with Marathi [mar].",,All domains. Used by all. Positive attitudes.,Also use English [eng]. Also use Hindi [hin]. Also use Marathi [mar].,,,,,,,Unwritten [Qaax].,"Bhalay probably an alternate spelling of Balahi (Balai), a Scheduled Caste found in Madhya Pradesh, Maharashtra, Rajasthan, and Uttar Pradesh.",Traditional religion.
48,bha,Bharia,Bharia,,"Bhar, Bharat, Bhumia, Bhumiya, Paliha",IN,India,T,T,T,197000,197000,,,"197,000 (1981 census).",,,,1981,,"Chhattisgarh state: Bilaspur, Durg, and Surguja districts; Madhya Pradesh state: Chhatarpur, Chhindwara, Datia, Jabalpur, Mandla, Panna, Rewa, Sidhi, and Tikamgarh districts; Uttar Pradesh and West Bengal states.",Madhya Pradesh,23.9801,80.0664,6a,6a* (Vigorous),,,"Dravidian, Unclassified",,They speak a variety of Hindi [hin] (Singh and Manoharan 1993).,,,Many also use English [eng].,,,,,,,Devanagari script [Deva].,,Hindu.
49,bgw,Bhatri,Bhatri,भतरी‎ (Bhatri),"Basturia, Bhatra, Bhattra, Bhattri, Bhottada, Bhottara, Deshia, aisi jaisi got",IN,India,T,T,T,334000,334000,,,"334,000 (2011 census).",,,,2011,,"Chhattisgarh state: Bastar district, Jagdalpur sub-district; Maharashtra state; Odisha state: Koraput district, Kotpad sub-district.",Chhattisgarh,19.1369,81.8699,3,3 (Wider communication),,"Came to the Bastar district from Warangal; became widespread under British rule in 1858. Used in trade (opium), daily communication between ethnic groups, and agriculture.","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Oriya",,"Intelligibility between dialects at 88% or more. Reportedly similar to Halbi [hlb]. Lexical similarity: 70%–90% between dialects, 58% with Adivasi Oriya [ort].",,"Vigorous. Home, religion. Positive attitudes.","Some also use Hindi [hin], in Madhya Pradesh. Also use Halbi [hlb]. Also use Odia [ory], in Odisha.","Used as L2 by Duruwa [pci], Halbi [hlb].",Literacy rate in L2: 38% in Chhattisgarh [hne] (2001 census).,,NT: 2017.,,,Devanagari script [Deva].,,"Hindu, traditional religion."
50,bht,Bhattiyali,Bhattiyali,भटियाली‎ (Bhaṭiyālī),"Bhateali, Bhatiali Pahari, Bhatiyali, Pahari",IN,India,T,T,T,24000,24000,,,"24,000 (2011 census).",,,,2011,,"Himachal Pradesh state: Chamba district, Bhattiyat and Sihunta sub-districts; Jammu and Kashmir state; Punjab state.",Himachal Pradesh,32.4753,75.9925,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Western Pahari",,,SOV.,Used by all.,Also use Eastern Punjabi [pan]. Also use English [eng]. Also use Hindi [hin]. Also use Urdu [urd].,,,,NT: 2020.,,,Devanagari script [Deva].,,"Hindu, Buddhist, Christian, Muslim, Sikh."
51,bhi,Bhilali,Bhilali,,"Bhilala, Bhili",IN,India,T,T,T,753000,753000,,,"753,000 (2011 census).",,,,2011,,"Karnataka state; Madhya Pradesh state: Barwani (Rajpur), southern Dhar, southern Jhabua, and Khargone (Segaon) districts; Maharashtra state: Dhule district; Rajasthan state; a few in Gujarat state.",Madhya Pradesh,22.44,75.1031,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",Parya Bhilali,,,,Many also use English [eng].,,,,NT: 2022.,,,Devanagari script [Deva].,,Traditional religion.
52,bhb,Bhili,Bhili,भीली‎ (Bhīlī),"Bhagoria, Bhil, Bhilbari, Bhilboli, Bhilla, Bhilodi, Lengotia, Vil",IN,India,T,T,T,3430000,3290000,140000,"3,430,000, all users.","3,290,000 (2011 census). 10,400,000 for all Bhil languages (2011 census).","140,000 (2011 census).",,,2011,,"Gujarat state: Dohad, Panch Mahals, and Sabarkantha districts; Madhya Pradesh state: Dhar, Indore, Jhabua, Khargone, and Ratlam districts; Rajasthan state: Banswara, Dungapur, and Udaipur districts.",Madhya Pradesh,23.3,74.5431,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil","Ahiri, Anarya (Pahadi), Bhilodi, Bhim, Charani, Habura, Konkani, Kotali (Kotvali, Kotwalia), Magra Ki Boli, Nahari (Baglani), Naikdi, Panchali, Patelia, Ranawat, Rani Bhil, Siyalgir, Valvi, Labani",Bhili of Ratlam District in Madhya Pradesh is inherently intelligible with Wagdi [wbr] and a connecting link between Gujarati [guj] and Rajasthani (Marwari) [mve].,,Spoken as L1 by the Patelia in Madhya Pradesh.,Many also use English [eng]. Also use Hindi [hin].,,Literacy rate in L1: 1%–5%. Literacy rate in L2: 10%.,,Literature. Radio. TV. Videos. NT: 1930.,,,Devanagari script [Deva]. Gujarati script [Gujr].,"‘Bhil’ is an ethnic designation (caste or tribe). Bhili is a Scheduled Tribe in Rajasthan, Gujarat, Maharashtra, Madhya Pradesh, and Tripura; Kotwalia is a Scheduled Tribe in Gujarat and Maharashtra. Dewali (Dehawali) is a cover term for Vasavi and Kotali, among others.",Traditional religion.
53,bho,Bhojpuri,Bhojpuri,भोजपुरी‎ (Bhōjpurī),"Bajpuri, Bhojapuri, Bhozpuri, Khotla, Piscimas, “Bihari” (pej.)",IN,India,T,T,T,50600000,50600000,,,"50,600,000 in India (2011 census).",,,,2011,"52,682,000 (as L1: 52,543,000; as L2: 139,000)","Assam state; Bihar state: Champaran, Saran, and Shahabad districts; Delhi; Jharkhand state: Palamau and Ranchi districts; Madhya Pradesh state; Uttar Pradesh state: Azamgarh, Ballia, Basti, Deoria, Ghazipur, Gorakhpur, Mirzapur, and Varanasi districts; West Bengal state.",Uttar Pradesh,26.248,83.4078,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bihari","Northern Standard Bhojpuri (Basti, Gorakhpuri, Sarawaria), Western Standard Bhojpuri (Benarsi, Purbi), Southern Standard Bhojpuri (Kharwari), Bhojpuri Tharu, Madhesi, Domra, Musahari","May be more than 1 language. Extent of dialect variation in India and Nepal not yet determined. The cover term “Bihari” (a pejorative alternate name for Bhojpuri) is also used for Maithili [mai], and Magahi [mag]. Bhojpuri Tharu dialect is spoken by Tharu caste in Nepal and India. Distinct from other Tharu languages.","SOV; postpositions; noun head final; gender (masculine/feminine for animate nouns); content q-word in situ; clause constituents indicated by both case-marking (3 cases) and word order; verbal affixation marks person, number and genders of subject and object; no ergativity; tense and aspect; non-tonal; 34 consonant and 6 vowel phonemes, about 4 diphthongs; stress on penultimate syllable.",,Many also use English [eng].,"Used as L2 by Bajjika [vjk], Maithili [mai], Urdu [urd].",Literacy rate in L1: 5%–30%. Literacy rate in L2: 50%–75%.,,Literature. Newspapers. Periodicals. Radio. TV. Videos. Grammar. Texts. NT: 1998–2006.,,,Devanagari script [Deva]. Kaithi script [Kthi].,,"Hindu, Muslim."
54,bhu,Bhunjia,Bhunjia,,"Bhumia, Bhumjiya, Bhunjiya, Bunjia",IN,India,T,T,T,6790,6790,,,"6,790 (2000 USCWM).",,,,2000,,"Chhattisgarh state: Raipur district; Madhya Pradesh state: Hoshangabad district; Maharashtra state; Odisha state: Balasore (Baleshwar), Dhenkanal, Kalahandi, Keonjhar, Koraput, and Sambalpur districts, Sunabera Plateau area.",Odisha,20.4926,82.6147,6b,6b* (Threatened),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Oriya",,A more divergent dialect of Halbi [hlb]. Lexical similarity: 68%–72% with Kamar [keq].,,,Also use Chhattisgarhi [hne]. Also use English [eng]. Also use Hindi [hin].,,Literacy rate in L2: 24% in Odisha (2001 census).,,NT: 2022.,,,Devanagari script [Deva].,,Hindu.
55,biu,Biate,Biate,Biate,"Baite, Bedesa, Beite, Bete, Beteh, Biete, Hadem",IN,India,T,T,T,19000,19000,,,"19,000 (IMA 1997).",,,,1997,,"Assam state: North Cachar Hills district; Manipur state; Meghalaya state: Jaintia hills district; Mizoram state: Aizawl district, Darlawn, New Vervek, and Ratu villages.",Assam,25.4873,92.7857,5,5* (Developing),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Central, Mizo",,"Reportedly similar to Hrangkhol [hra], and similar enough to Mizo [lus] and Hmar [hmr] that they can be read with comprehension.",,"Home, village, church.","Also use English [eng]. Also use Hindi [hin], especially in Assam. Also use Khasi [kha], in Meghalaya. Also use Mizo [lus]. Also use War-Jaintia [aml], in Meghalaya.",Used as L2 by Sakachep [sch].,Literacy rate in L1: 56%.,,Literature. Bible: 1985–2005.,,,Latin script [Latn].,An ethnic subgroup of the Mizo. Not the same as the Biate dialect of Chin Thado [tcz] (Breton 1997).,Christian.
